subject,predicate,object
VolumeResistivity,relatedTo,ElectricalProperty
Description,relatedTo,ACDielectricDispersion
LossPermitivity,relatedTo,ElectricalProperty
RealPermitivity,relatedTo,ElectricalProperty
DCDielectricConstant,relatedTo,ElectricalProperty
Impedance,relatedTo,ElectricalProperty
ACDielectricDispersion,relatedTo,ElectricalProperty
WebullParameter,relatedTo,ElectricalProperty
ElectricalProperty,relatedTo,PhysicalProperty
PercolationThreshold,relatedTo,ElectricalProperty
LossTangent,relatedTo,ElectricalProperty
PhysicalProperty,relatedTo,Property
SurfaceResistivity,relatedTo,ElectricalProperty
LossPermitivity,relatedTo,ACDielectricDispersion
RealPermitivity,relatedTo,ACDielectricDispersion
Description,relatedTo,ElectricalProperty
ArcResistance,relatedTo,ElectricalProperty
DielectricBreakdownStrength,relatedTo,ElectricalProperty
EnergyDensity,relatedTo,ElectricalProperty
WebullPlot,relatedTo,ElectricalProperty
CurrentDensity,relatedTo,ElectricalProperty
LossTangent,relatedTo,ACDielectricDispersion
Conductivity,relatedTo,ElectricalProperty
