subject,predicate,object
Reference,hasAuthor,Author
Reference,;pageStart,rdfs:Literal
Reference,hasPublicationYear,xsd:gYear
Publisher,asString,xsd:string
Journal,asString,xsd:string
Reference,hasLiteratureType,LiteratureTypes
Author,asString,xsd:string
ArXivID,asString,xsd:string
Reference,dcterms:publisher,Publisher
Reference,:doi,rdfs:Literal
Reference,relatedTo,Node
Reference,hasWebsite,xsd:anyURI
Reference,hasJournal,Journal
Reference,hasTitle,xsd:string
Reference,:pageEnd,rdfs:Literal
Reference,hasArXivID,ArXivID
Reference,:issue,rdfs:Literal
Reference,:volume,rdfs:Literal
Reference,:issn,rdfs:Literal
Reference,:pmid,rdfs:Literal
